item_id,item_name,brand,kcal_100g,protein_100g,carbs_100g,fat_100g,serving_size,quantity,source
3003410578,"Bread, asiago & garlic",Giant Eagle,246.0,8.77,42.11,3.51,"1.33 "" SLICE (57 g)",,openfoodfacts
3003410591,Slider Buns,Giant Eagle,257.0,8.57,48.57,2.86,1 BUN (35 g),,openfoodfacts
3003410610,"Croutons, garlic & butter",,429.0,14.29,71.43,14.29,2 Tbsp (7 g),,openfoodfacts
3003440010,Seedless Soft Rye Bread,Giant Eagle,259.0,11.11,44.44,1.85,1 SLICE (27 g),,openfoodfacts
3003440013,Enriched hot dog buns,,256.0,9.3,48.84,3.49,1 BUN (43 g),,openfoodfacts
3003440035,Enriched White Bread,Giant Eagle,255.0,8.51,48.94,3.19,2 SLICES (47 g),,openfoodfacts
3003440045,Enriched hamburger sliced buns,Giant Eagle,256.0,9.3,48.84,3.49,1 BUN (43 g),,openfoodfacts
3003440065,Light Wheat Bread,Giant Eagle,171.0,9.76,39.02,1.22,2 SLICES (41 g),,openfoodfacts
3003440075,Milano Italian Bread,Giant Eagle,233.0,10.0,46.67,3.33,1 SLICE (30 g),,openfoodfacts
3003440104,Split Top Wheat Bread,Giant Eagle,259.0,11.11,48.15,3.7,1 SLICE (27 g),,openfoodfacts
3003491321,Artisan baguette,,196.0,7.14,42.86,0.0,2 ONZ (56 g),,openfoodfacts
3003491385,Artisan ciabatta,,246.0,8.77,49.12,0.88,2 ONZ (57 g),,openfoodfacts
3003491454,"Bread, roasted garlic",,246.0,8.77,50.88,0.88,2 ONZ (57 g),,openfoodfacts
3003491480,"Bread, italian peasant",,246.0,8.77,52.63,0.88,2 ONZ (57 g),,openfoodfacts
3003491696,"Aussie style strawberry rhubarb yogurt, aussie style strawberry rhubarb",,124.0,6.19,15.49,4.42,1 CONTAINER (226 g),,openfoodfacts
3149377670,"Organic wheat hamburger buns, wheat",,246.0,7.69,44.62,4.62,2.3 ONZ (65 g),,openfoodfacts
31921,Jocko Protein Powder Chocolate Milkshake,Jocko,352.941176470588,2.0,24.0,0.5,28 g,1 oz,openfoodfacts
3303547012,Pita Bread,,329.11392405063,8.8607594936709,51.898734177215,8.8607594936709,,,openfoodfacts
3303547029,Whole wheat pita bread,,303.79746835443,10.126582278481,50.632911392405,8.8607594936709,,,openfoodfacts
33763,Smoked Salmon Groats in Tomato Sauce (Savulohirouhe tomaattikastikkeesa),Kala-Kalle,189.0,9.3,7.4,13.0,235 g,235 g,openfoodfacts
33893,West country luxury yogurt Rhubarb Custard,Marks & Spencer,125.0,2.9,15.0,5.8,1 portion (150 g),150 g,openfoodfacts
33909,Victoria plum and bergamot yogurt,M&S,126.0,2.8,13.7,6.7,,,openfoodfacts
3663013156,"Blueberry Flavored Original Nonfat Yogurt, Blueberry",Light & fit,85.1357352941177,1.7476,19.0823088235294,0.142485294117647,1 cup (150 g),1.32 lbs/600 g,openfoodfacts
3663202025,Oikos Triple Zero,Danone,106.0,15.0,10.0,0.0,,150g,openfoodfacts
3663203487,Proactive low fat yogurt,Activia,80.0,6.66666666666667,10.0,2.0,1 portion (150 g),,openfoodfacts
3663237367,"Greek nonfat yogurt, peach","Dannon,  The Dannon Company  Inc.",53.0,8.0,5.33,0.0,1 CONTAINER (150 g),,openfoodfacts
38317,Greek Yoghurt,M&S,134.0,6.4,4.2,10.1,1 serving (125 g),38 g,openfoodfacts
3832072627,Extra Bold Cold Brew,Stok,5.55555555555556,0.277777777777778,0.833333333333333,0.0,12 f oz (360 ml),,openfoodfacts
3913800302,Robert Irvine’s Fit Crunch Chocolate Peanut Butter,Fit Crunch,413.04347826087,34.7826086956522,30.4347826086957,17.3913043478261,1 portion (46 g),,openfoodfacts
4023228687,"Handmade chocolate bread, chocolate",,404.0,7.02,56.14,10.53,1 SLICE (57 g),,openfoodfacts
4126819610,Yogurt parfait,Hannaford,123.0,3.28,22.95,1.64,1 PARFAIT (122 g),,openfoodfacts
4126820815,Fruit Explosion Strawberries Mangos & Peaches,Hannaford,50.0,0.714285714285714,10.7142857142857,0.0,1 cup (140 g),,openfoodfacts
4141527091,Everything bagels,Greenwise,282.352941176471,9.41176470588235,55.2941176470588,2.35294117647059,1 bagel (85 g),12 oz,openfoodfacts
4144947179,Protein Buttermilk Pancake Mix,Krusteaz,360.655737704918,32.7868852459016,50.8196721311475,3.27868852459016,61 g,,openfoodfacts
4149700093,Lite hot dog rolls,Weis Quality,186.0,9.3,44.19,2.33,1 ROLL (43 g),,openfoodfacts
4300096050,Puding Práva Vanilka,Dr.Otker,123.0,4.2,22.0,1.9,40 g,,openfoodfacts
4345002477,Danone Skyr pêche high pro,Danone,71.0,7.9,9.5,0.0,145 gram,145 gram,openfoodfacts
4502020369,Doppelkeks Mit Zitronenfüllung,Nora,480.0,5.3,61.6,23.2,,,openfoodfacts
45292,Semi-Sweet Chocolate Chips,Trader Joe's,533.333333333333,5.33333333333333,66.6666666666667,26.6666666666667,1 serving (15 g),40 g,openfoodfacts
