item_name,cat,kcal_100g,fat_100g,carbs_100g,protein_100g,source,cat_l1,cat_l2,cat_l3,item_name_word_count
jalapeno cheddar cheese artisan bread,breads,228.0,6.14,35.09,0.0,off,grains & pasta,bread,breads,5
strawberry greek nonfat yogurt strawberry,yogurts,73.0,0.0,11.33,8.0,off,dairy & eggs,yogurt,yogurts,5
greek nonfat yogurt,yogurts,73.0,0.0,10.67,8.0,off,dairy & eggs,yogurt,yogurts,3
greek nonfat yogurt,yogurts,73.0,0.0,11.33,8.0,off,dairy & eggs,yogurt,yogurts,3
greek nonfat yogurt,yogurts,80.0,0.0,11.33,8.67,off,dairy & eggs,yogurt,yogurts,3
vanilla greek nonfat yogurt vanilla,yogurts,73.0,0.0,10.0,8.67,off,dairy & eggs,yogurt,yogurts,5
greek nonfat yogurt,yogurts,53.0,0.0,4.0,10.0,off,dairy & eggs,yogurt,yogurts,3
premium mini bagels blueberry,breads,263.0,2.63,55.26,7.89,off,grains & pasta,bread,breads,4
greek nonfat yogurt plain,yogurts,60.0,0.0,4.0,10.0,off,dairy & eggs,yogurt,yogurts,4
greek nonfat yogurt vanilla,yogurts,73.0,0.0,9.33,8.67,off,dairy & eggs,yogurt,yogurts,4
greek nonfat yogurt blueberry,yogurts,80.0,0.0,11.33,8.0,off,dairy & eggs,yogurt,yogurts,4
greek nonfat yogurt strawberry,yogurts,80.0,0.0,11.33,8.0,off,dairy & eggs,yogurt,yogurts,4
greek nonfat yogurt plain,yogurts,59.0,0.0,4.12,10.0,off,dairy & eggs,yogurt,yogurts,4
greek nonfat yogurt vanilla,yogurts,71.0,0.0,8.82,8.82,off,dairy & eggs,yogurt,yogurts,4
blended greek yogurt pumpkin,yogurts,87.0,1.67,10.0,8.0,off,dairy & eggs,yogurt,yogurts,4
blended lowfat yogurt strawberry,yogurts,76.0,1.18,13.53,3.53,off,dairy & eggs,yogurt,yogurts,4
plain greek nonfat yogurt plain,yogurts,60.0,0.0,4.0,10.0,off,dairy & eggs,yogurt,yogurts,5
strawberry greek nonfat yogurt strawberry,yogurts,80.0,0.0,11.33,8.0,off,dairy & eggs,yogurt,yogurts,5
blueberry greek nonfat yogurt blueberry,yogurts,80.0,0.0,11.33,8.0,off,dairy & eggs,yogurt,yogurts,5
greek yogurt vanilla,yogurts,106.0,4.71,7.65,8.24,off,dairy & eggs,yogurt,yogurts,3
